Player,Team,Conference,GP,MPG,ORtg,USG,eFG%,TS%,ORB%,DRB%,AST%,TO%,FTM,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,BLK%,STL%,FTR,Class,Height,Number,PORPAG,Adj_O_Eff,Foul_rate,Year,ID,Hometown,Recruiting_Rank,A_TO_Rate,Rim_Made,Rim_Missed,Mid_Made,Mid_Missed,Rim%,Mid%,Dunks,Dunks_Attempts,Dunk%,Draft_Spot,DRTG,Adj_DRTG,D_PORPAG,stops,BPM,O_BPM,D_BPM,G_BPM,MPG,OG_BPM,DG_BPM,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,PTS_PG,Position_Advanced,3PT/100
Mason Forbes,Saint Mary's,WCC,23,27.7,113.7,13.4,65.3,57.95,7.9,13.9,5.5,12.3,6,24,0.25,32,47,0.681,0,2,0,6.9,0.9,49,Sr,6-9,25,0.613192,104.335,4.9,2024,65686,"Folsom, CA",66.8,1.14261223,25,39,2,2,0.641,1,12,16,0.75,,92.4533,91.0338,1.60701,48.7851,5.04413,0.162892,4.88124,3.04995,11.9583,-0.796733,3.84668,0.9167,1.4167,2.3333,0.3333,0.1667,0.75,3.7083,C,0.473352
Xavier Johnson,Indiana,B10,14,37.7,97.4,20.3,45.7,53.2,3.1,6.8,15.2,21.9,42,59,0.712,25,58,0.431,8,23,0.348,1.3,2.2,72.8,Sr,6-3,0,1.03641,101.112,3.8,2024,65690,"Woodbridge, VA",53.8,1.11111689,18,35,7,23,0.5143,0.3043,1,1,1,,109.346,103.003,2.41316,56.2922,0.056842,-0.346166,0.403008,-0.612402,24.7857,-1.23747,0.62507,0.6429,1.5714,2.2143,2.1429,0.9286,0.2857,8.2857,Combo G,3.79461
Allen Betrand,Norfolk St.,MEAC,20,62,103.8,22.8,47.7,53.36,4.8,9.7,9.1,16.9,47,54,0.87,54,116,0.466,19,57,0.333,1.1,1.9,31.2,Sr,6-5,9,1.42406,105.609,3.8,2024,65709,"Philadelphia, PA",,0.70587835,18,40,37,77,0.45,0.4805,6,7,0.8571,,105.988,110.461,1.77279,78.9086,-2.52204,-0.61575,-1.90629,-1.37595,24.3043,0.132669,-1.50861,0.9565,2.0435,3,1.0435,0.8261,0.2174,10.8261,Wing G,6.85063
Robert Braswell IV,Charlotte,Amer,17,29.1,103.6,21.6,54.3,55.01,7.3,5.3,3.6,14.3,10,17,0.588,17,28,0.607,18,53,0.34,2.8,1,21,Sr,6-7,20,0.9139,107.455,2.6,2024,65717,"Jacksonville, FL",69.8,0.33328334,15,20,2,8,0.75,0.25,2,3,0.6667,,107.92,105.364,1.27683,32.1153,-0.457745,1.25854,-1.71629,0.850285,15.3889,2.22297,-1.37268,1,0.8889,1.8889,0.2222,0.2222,0.3333,6.6111,Stretch 4,13.6396
Jordan Lathon,Morehead St.,OVC,19,76.8,111.1,26.4,53,55.74,4.7,19.2,15,15.5,39,48,0.813,75,151,0.497,38,98,0.388,0.9,2.4,19.3,Sr,6-5,2,3.03556,117.522,2.9,2024,65766,"Grandview, MO",73.4,1.06519997,47,84,28,67,0.5595,0.4179,2,3,0.6667,,98.6366,100.559,3.25323,112.33,2.46002,1.97482,0.485196,3.73567,29.913,3.0077,0.727965,1.2174,5.3478,6.5652,2.1304,1.087,0.3478,15.8696,Wing G,10.3005
Ithiel Horton,Texas,B12,23,47.2,102.2,18,48.6,49.99,2.3,12,9.7,13.4,13,19,0.684,29,72,0.403,26,68,0.382,0.5,1.3,13.6,Sr,6-5,9,0.975143,103.932,2.6,2024,65770,"Vauxhall, NJ",,1.33337588,10,22,19,49,0.4545,0.3878,1,1,1,,103.688,100.381,2.01183,68.0445,0.453185,1.05183,-0.598647,-0.00684413,19,0.142719,-0.149563,0.3478,2,2.3478,1.0435,0.4348,0.087,6.4783,Wing G,9.15405
Kjell de Graaf,NJIT,AE,12,40.5,120.8,18.8,55.9,65.01,8.8,9.4,5.6,17.2,47,56,0.839,23,42,0.548,10,26,0.385,7.4,0.6,82.4,Sr,6-10,33,2.46365,116.723,4.4,2024,65781,"Rotterdam, Netherlands",,0.64709028,21,38,2,4,0.5526,0.5,8,11,0.7273,,112.852,115.464,1.38916,46.9691,1.46192,0.881688,0.580233,0.376811,25,0.768975,-0.392165,2.6154,2.2308,4.8462,0.8462,0.3077,1.8462,10.3846,PF/C,4.93765
Aaron Clarke,Stony Brook,CAA,18,65.3,103.7,21.9,47.9,50.96,1,9.5,12.6,10.7,34,43,0.791,49,109,0.45,37,109,0.339,0.4,1.5,19.7,Sr,6-1,5,1.91883,106.46,1.8,2024,65789,"Parsippany, NJ",,1.5199879,17,41,32,68,0.4146,0.4706,0,0,,,110.095,108.259,2.51479,88.5056,-0.928238,1.0149,-1.94314,0.0800536,32.1053,0.948241,-0.868188,0.3158,2.7895,3.1053,2,0.8947,0.1053,13.2105,Combo G,11.0869
Cameron Wilbon,Cal St. Bakersfield,BW,20,44.7,86.3,18.1,37.5,41.02,5.5,9.7,7.5,16.5,20,34,0.588,30,82,0.366,4,14,0.286,1.3,1.3,35.4,Sr,6-5,22,-0.346648,83.4695,2.7,2024,65790,"Gary, IN",,0.80002199,11,25,19,57,0.44,0.3333,1,2,0.5,,110.105,111.337,1.22277,50.9822,-5.3877,-4.01744,-1.37026,-5.4777,18.2273,-3.62093,-1.85677,0.9545,1.6364,2.5909,0.7273,0.4091,0.1818,4.4545,Wing G,2.32974
Myles Thompson,Morgan St.,MEAC,7,18.9,76.4,17.6,36,39.79,5.8,11.1,0,20.9,7,10,0.7,8,21,0.381,5,22,0.227,0.7,0.4,23.3,Sr,6-7,5,-1.06849,74.9734,2.9,2024,65794,"Camden, NJ",,0.15383551,6,8,2,13,0.75,0.1538,0,0,,,118.205,119.512,0.875983,20.6282,-12.6223,-5.97133,-6.65102,-10.5026,23.3333,-5.28952,-5.21309,1.5556,2.4444,4,0.2222,0.4444,0.1111,8,Stretch 4,8.10269
